ID tích hợp,Thời gian,Kho lấy hàng,Thành phố,Quận huyện,Mã sản phẩm,Ngành,Hãng,Mã chung,Mã riêng,Chiết khấu,Giá,Giá sau CK,Số lượng,Giá trị đơn hàng,Tiền chiết khấu,Tiền đặt cọc,Tổng thu,Ghi chú của CSKH,Trạng thái,Chăm sóc KH,Thiếu,Thieu,DH thiếu,Ngày xác nhận,Thời gian xác nhận,Nguồn đơn hàng,Column1
hd211915,07-02-21 21:48,2 HCM-HHT-KD-V.2,Hồ Chí Minh,Quận Gò Vấp,CHU-LOG-G304,CHU,LOGITECH,,,,"790,000","4,790,000",1,"3,280,000",,,"3,280,000",thieu chuot,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:55,0:02:04,SHOWROOMHHT,
hd211915,07-02-21 21:48,2 HCM-HHT-KD-V.2,Hồ Chí Minh,Quận Gò Vấp,KB-COR-K63-WIRELESS-MX-RD,KB,CORSAIR,,,,"2,490,000","22,990,000",1,"3,280,000",,,"3,280,000",thieu chuot,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:55,0:00:00,SHOWROOMHHT,
hd211916,07-02-21 21:47,8 HCM-CQ-KD,Hồ Chí Minh,Quận 1,HDD-WD-BLUE-1TB,HDD,WD,,,,"980,000","150,000",1,"980,000",,,"980,000",,Thành công,Trần Thiện Tý, -   , -   , -   ,07-02-21 21:48,0:00:00,SHOWROOMHHT,
hd211914,07-02-21 21:42,2 HCM-HHT-KD-V.2,Bình Dương,Thị xã Tân Uyên,TAI-STE-ARCTIS-7-WHITE,TAI,STEELSERIES,,,"350,000","3,990,000", -   ,1,"3,640,000","350,000",,"3,640,000",,Hệ thống hủy,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:44,0:00:00,SHOWROOMHHT,
hd211914,07-02-21 21:42,2 HCM-HHT-KD-V.2,Bình Dương,Thị xã Tân Uyên,PK-KING-BINH-GIU-NHIET-BLK,PK,KINGSTON,,,, -   , -   ,1,"3,640,000","350,000",,"3,640,000",,Hệ thống hủy,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:44,0:00:00,SHOWROOMHHT,
hd211912,07-02-21 21:33,2 HCM-HHT-KD-V.2,Hồ Chí Minh,Quận Tân Bình,CHU-ZOW-BENQ-S1,CHU,ZOW,,,,"1,490,000", -   ,1,"1,490,000",,,"1,490,000",,Thành công,Phạm Ngọc Hiếu, -   , -   , -   ,07-02-21 21:35,0:00:00,SHOWROOMHHT,
hd211911,07-02-21 21:30,2 HCM-HHT-KD-V.2,Hồ Chí Minh,Quận Tân Bình,KB-AKKO-DRAGONBALL-ACG84-AKKO-PINK,KB,AKKO,,,,"1,520,000","1,433,713",1,"5,800,000",,,"5,800,000",,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:32,10:20:43,SHOWROOMHHT,
hd211911,07-02-21 21:30,2 HCM-HHT-KD-V.2,Hồ Chí Minh,Quận Tân Bình,MIC-KING-HYP-SOLO,MIC,KINGSTON,,,,"1,490,000","1,433,713",1,"5,800,000",,,"5,800,000",,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:32,10:20:43,SHOWROOMHHT,
hd211911,07-02-21 21:30,2 HCM-HHT-KD-V.2,Hồ Chí Minh,Quận Tân Bình,CAM-LOG-C930E,CAM,LOGITECH,,i7,,"2,790,000","8,394,634",1,"5,800,000",,,"5,800,000",,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:32,10:20:43,SHOWROOMHHT,
hd211910,07-02-21 21:28,3 HCM-HVT-KD,Đồng Nai,Thành phố Biên Hòa,TCG-RAPOO-V600-BLA,TCG,RAPOO,,,,"435,000","781,126",1,"775,000",,,"775,000",,Thành công,Trần Anh Vũ, -   , -   , -   ,08-02-21 10:15,10:20:43,HARAVAN,
hd211910,07-02-21 21:28,3 HCM-HVT-KD,Đồng Nai,Thành phố Biên Hòa,TAI-ZIDLI-ZH7RB,TAI,ZIDLI,,,,"340,000","1,176,633",1,"775,000",,,"775,000",,Thành công,Trần Anh Vũ, -   , -   , -   ,08-02-21 10:15,10:20:43,HARAVAN,
hd211909,07-02-21 21:25,2 HCM-HHT-KD-V.2,Hồ Chí Minh,Quận Tân Bình,PK-AKKO-WTOUR-87-TKL,PK,AKKO,,,,"290,000","1,275,510",1,"290,000",,,"290,000",,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:26,10:20:43,SHOWROOMHHT,
hd211908,07-02-21 21:22,8 HCM-CQ-KD,Hồ Chí Minh,Quận 1,KB-RAZ-LUP-BUNDLE,KB,RAZER,,,,"1,990,000","682,249",1,"1,990,000",,,"1,990,000",,Thành công,Võ Quốc Khánh, -   , -   , -   ,07-02-21 21:23,10:20:43,SHOWROOMHHT,
hd211906,07-02-21 21:17,2 HCM-HHT-KD-V.2,Hồ Chí Minh,Quận Bình Tân,TAI-DAR-EH416-RGB,TAI,DAREU,,,"1,425","380,000","12,844,087",1,"10,630,000","40,000",,"10,630,000",,Thành công,Phạm Ngọc Hiếu, -   , -   , -   ,07-02-21 21:23,10:20:43,OTHER,
hd211906,07-02-21 21:17,2 HCM-HHT-KD-V.2,Hồ Chí Minh,Quận Bình Tân,VGA-ASU-GTX1660S-TUF3-O6G-GAMING,VGA,ASUS,,,"27,329","7,290,000","682,249",1,"10,630,000","40,000",,"10,630,000",,Thành công,Phạm Ngọc Hiếu, -   , -   , -   ,07-02-21 21:23,10:20:43,OTHER,
hd211906,07-02-21 21:17,2 HCM-HHT-KD-V.2,Hồ Chí Minh,Quận Bình Tân,PW-CM-MWE-650-BRONZE-V2-FR,PW,COOLER MASTER,,Z,"6,186","1,650,000","5,626,086",1,"10,630,000","40,000",,"10,630,000",,Thành công,Phạm Ngọc Hiếu, -   , -   , -   ,07-02-21 21:23,10:20:43,OTHER,
hd211906,07-02-21 21:17,2 HCM-HHT-KD-V.2,Hồ Chí Minh,Quận Bình Tân,VO-MSI-MAG-VAMPIRIC-010M,VO,MSI,,,"5,061","1,350,000", -   ,1,"10,630,000","40,000",,"10,630,000",,Thành công,Phạm Ngọc Hiếu, -   , -   , -   ,07-02-21 21:23,10:20:43,OTHER,
hd211884,07-02-21 21:16,6 HN-TH-KD,Hà Nội,Quận Bắc Từ Liêm,CPU-INT-i5-10400F,CPU,INTEL,i5,,"190,680","3,790,000", -   ,1,"19,820,001","1,049,999",,"19,820,001",,Thành công,Nguyễn Đinh Thuận, -   , -   , -   ,08-02-21 8:15,10:20:43,OTHER,
hd211884,07-02-21 21:16,6 HN-TH-KD,Hà Nội,Quận Bắc Từ Liêm,RAM-HYP-FURY-BL-1X8G-2666,RAM,HYPERX,,,"49,808","990,000", -   ,1,"19,820,001","1,049,999",,"19,820,001",,Thành công,Nguyễn Đinh Thuận, -   , -   , -   ,08-02-21 8:15,10:20:43,OTHER,
hd211884,07-02-21 21:16,6 HN-TH-KD,Hà Nội,Quận Bắc Từ Liêm,VGA-MSI-GTX1660-VENT-XS-OC-6G-V1,VGA,MSI,,,"311,428","6,190,000", -   ,1,"19,820,001","1,049,999",,"19,820,001",,Thành công,Nguyễn Đinh Thuận, -   , -   , -   ,08-02-21 8:15,10:20:43,OTHER,
hd211884,07-02-21 21:16,6 HN-TH-KD,Hà Nội,Quận Bắc Từ Liêm,SSD-PNY-CS900-120-SATA,SSD,PNY,,,"27,671","550,000","640,000",1,"19,820,001","1,049,999",,"19,820,001",,Thành công,Nguyễn Đinh Thuận, -   , -   , -   ,08-02-21 8:15,0:00:55,OTHER,
hd211884,07-02-21 21:16,6 HN-TH-KD,Hà Nội,Quận Bắc Từ Liêm,PW-SILV-ST50F-500W,PW,SILVERSTONE,,,"49,808","990,000","550,000",1,"19,820,001","1,049,999",,"19,820,001",,Thành công,Nguyễn Đinh Thuận, -   , -   , -   ,08-02-21 8:15,0:01:21,OTHER,
hd211884,07-02-21 21:16,6 HN-TH-KD,Hà Nội,Quận Bắc Từ Liêm,VO-XIG-OMG-AQUA,VO,XIGMATEK,,H,"39,746","790,000","1,472,294",1,"19,820,001","1,049,999",,"19,820,001",,Thành công,Nguyễn Đinh Thuận, -   , -   , -   ,08-02-21 8:15,11:19:54,OTHER,
hd211884,07-02-21 21:16,6 HN-TH-KD,Hà Nội,Quận Bắc Từ Liêm,MB-GIG-B460M-AORUS-PRO-REV1,MB,GIGABYTE,B460,i3,"130,307","2,590,000","3,030,075",1,"19,820,001","1,049,999",,"19,820,001",,Thành công,Nguyễn Đinh Thuận, -   , -   , -   ,08-02-21 8:15,11:19:54,OTHER,
hd211884,07-02-21 21:16,6 HN-TH-KD,Hà Nội,Quận Bắc Từ Liêm,FAN-XIG-X20F-RGB,FAN,XIGMATEK,,,"5,031","100,000","1,139,840",1,"19,820,001","1,049,999",,"19,820,001",,Thành công,Nguyễn Đinh Thuận, -   , -   , -   ,08-02-21 8:15,11:19:54,OTHER,
hd211884,07-02-21 21:16,6 HN-TH-KD,Hà Nội,Quận Bắc Từ Liêm,FAN-XIG-X20F-RGB,FAN,XIGMATEK,,,"5,031","100,000","6,449,596",1,"19,820,001","1,049,999",,"19,820,001",,Thành công,Nguyễn Đinh Thuận, -   , -   , -   ,08-02-21 8:15,11:19:54,OTHER,
hd211884,07-02-21 21:16,6 HN-TH-KD,Hà Nội,Quận Bắc Từ Liêm,FAN-XIG-X20F-RGB,FAN,XIGMATEK,,,"5,031","100,000","807,387",1,"19,820,001","1,049,999",,"19,820,001",,Thành công,Nguyễn Đinh Thuận, -   , -   , -   ,08-02-21 8:15,11:19:54,OTHER,
hd211884,07-02-21 21:16,6 HN-TH-KD,Hà Nội,Quận Bắc Từ Liêm,FAN-XIG-X20F-RGB,FAN,XIGMATEK,,,"5,031","100,000","560,421",1,"19,820,001","1,049,999",,"19,820,001",,Thành công,Nguyễn Đinh Thuận, -   , -   , -   ,08-02-21 8:15,11:19:54,OTHER,
hd211884,07-02-21 21:16,6 HN-TH-KD,Hà Nội,Quận Bắc Từ Liêm,FAN-XIG-X20F-RGB,FAN,XIGMATEK,,,"5,031","100,000","5,309,756",1,"19,820,001","1,049,999",,"19,820,001",,Thành công,Nguyễn Đinh Thuận, -   , -   , -   ,08-02-21 8:15,11:19:54,OTHER,
hd211884,07-02-21 21:16,6 HN-TH-KD,Hà Nội,Quận Bắc Từ Liêm,TBM-CABLE-ORICO-15M,TBM,ORICO,,,"7,547","150,000","94,987",1,"19,820,001","1,049,999",,"19,820,001",,Thành công,Nguyễn Đinh Thuận, -   , -   , -   ,08-02-21 8:15,11:19:54,OTHER,
hd211884,07-02-21 21:16,6 HN-TH-KD,Hà Nội,Quận Bắc Từ Liêm,KB-DAR-LK145-USB,KB,DAREU,,,"17,106","340,000","94,987",1,"19,820,001","1,049,999",,"19,820,001",,Thành công,Nguyễn Đinh Thuận, -   , -   , -   ,08-02-21 8:15,11:19:54,OTHER,
hd211884,07-02-21 21:16,6 HN-TH-KD,Hà Nội,Quận Bắc Từ Liêm,MAN-HKC-M27A9X-W-WHI-75HZ,MAN,HKC,,,"200,743","3,990,000","94,987",1,"19,820,001","1,049,999",,"19,820,001",,Thành công,Nguyễn Đinh Thuận, -   , -   , -   ,08-02-21 8:15,11:19:54,OTHER,
hd211891,07-02-21 21:09,2 HCM-HHT-KD-V.2,,,MB-MSI-MAG-B460M-MORTAR,MB,MSI,B460,,"69,931","2,690,000","94,987",1,"22,479,999","600,001",,"22,479,999",,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:23,11:19:54,SHOWROOMHHT,
hd211891,07-02-21 21:09,2 HCM-HHT-KD-V.2,,,CPU-INT-i3-10100,CPU,INTEL,i3,,"82,929","3,190,000","550,923",1,"22,479,999","600,001",,"22,479,999",,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:23,11:19:54,SHOWROOMHHT,
hd211891,07-02-21 21:09,2 HCM-HHT-KD-V.2,,,RAM-HYP-FURY-BL-1X8G-2666,RAM,HYPERX,,,"25,737","990,000","370,448",1,"22,479,999","600,001",,"22,479,999",,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:23,11:19:54,SHOWROOMHHT,
hd211891,07-02-21 21:09,2 HCM-HHT-KD-V.2,,,RAM-HYP-FURY-BL-1X8G-2666,RAM,HYPERX,,,"25,737","990,000","427,440",1,"22,479,999","600,001",,"22,479,999",,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:23,11:19:54,SHOWROOMHHT,
hd211891,07-02-21 21:09,2 HCM-HHT-KD-V.2,,,VGA-MSI-GTX1660S-VEN-OC-6GB,VGA,MSI,,,"176,516","6,790,000","845,382",1,"22,479,999","600,001",,"22,479,999",,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:23,11:19:54,SHOWROOMHHT,
hd211891,07-02-21 21:09,2 HCM-HHT-KD-V.2,,,PW-SILV-ST50F-500W,PW,SILVERSTONE,,,"25,737","990,000","66,491",1,"22,479,999","600,001",,"22,479,999",,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:23,11:19:54,SHOWROOMHHT,
hd211891,07-02-21 21:09,2 HCM-HHT-KD-V.2,,,VO-XIG-OMG-QUEEN,VO,XIGMATEK,,,"20,537","790,000",-1,1,"22,479,999","600,001",,"22,479,999",,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:23,11:19:54,SHOWROOMHHT,
hd211891,07-02-21 21:09,2 HCM-HHT-KD-V.2,,,TBM-CABLE-ORICO-15M,TBM,ORICO,,,"3,899","150,000","150,000",1,"22,479,999","600,001",,"22,479,999",,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:23,0:00:48,SHOWROOMHHT,
hd211891,07-02-21 21:09,2 HCM-HHT-KD-V.2,,,FAN-XIG-X20F-RGB,FAN,XIGMATEK,,,"2,600","100,000","23,490,000",1,"22,479,999","600,001",,"22,479,999",,Thành công,Nguyễn Anh Nguyên,1, -   ,1,07-02-21 21:23,61:56:42,SHOWROOMHHT,
hd211891,07-02-21 21:09,2 HCM-HHT-KD-V.2,,,FAN-XIG-X20F-RGB,FAN,XIGMATEK,,,"2,600","100,000", -   ,1,"22,479,999","600,001",,"22,479,999",,Thành công,Nguyễn Anh Nguyên,1, -   ,1,07-02-21 21:23,61:56:42,SHOWROOMHHT,
hd211891,07-02-21 21:09,2 HCM-HHT-KD-V.2,,,FAN-XIG-X20F-RGB,FAN,XIGMATEK,,,"2,600","100,000", -   ,1,"22,479,999","600,001",,"22,479,999",,Thành công,Nguyễn Anh Nguyên,1, -   ,1,07-02-21 21:23,61:56:42,SHOWROOMHHT,
hd211891,07-02-21 21:09,2 HCM-HHT-KD-V.2,,,MAN-ASU-VA27EHE-IPS-75HZ,MAN,ASUS,,,"108,925","4,190,000", -   ,1,"22,479,999","600,001",,"22,479,999",,Thành công,Nguyễn Anh Nguyên,1, -   ,1,07-02-21 21:23,61:56:42,SHOWROOMHHT,
hd211891,07-02-21 21:09,2 HCM-HHT-KD-V.2,,,SSD-PNY-CS900-240-SATA,SSD,PNY,,,"23,137","890,000","150,000",1,"22,479,999","600,001",,"22,479,999",,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:23,0:02:07,SHOWROOMHHT,
hd211891,07-02-21 21:09,2 HCM-HHT-KD-V.2,,,KB-DAR-EK87-PINK-WHITE-R,KB,DAREU,,,"14,298","550,000","499,000",1,"22,479,999","600,001",,"22,479,999",,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:23,0:02:07,SHOWROOMHHT,
hd211891,07-02-21 21:09,2 HCM-HHT-KD-V.2,,,TAI-DAR-EH469-RGB-PINK,TAI,DAREU,,,"11,698","450,000","3,990,000",1,"22,479,999","600,001",,"22,479,999",,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:23,0:02:15,SHOWROOMHHT,
hd211891,07-02-21 21:09,2 HCM-HHT-KD-V.2,,,LC-DAREU-ESP101-QUEEN,LC,DAREU,,,"3,120","120,000","990,000",1,"22,479,999","600,001",,"22,479,999",,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:23,0:01:35,SHOWROOMHHT,
hd211891,07-02-21 21:09,2 HCM-HHT-KD-V.2,,,TAI-ZIDLI-ZH7RB,TAI,ZIDLI,,,, -   ,"990,000",1,"22,479,999","600,001",,"22,479,999",,Thành công,Nguyễn Anh Nguyên, -   , -   , -   ,07-02-21 21:23,0:01:08,SHOWROOMHHT,
