ID tích hợp,Thời gian,Tháng,Kho lấy hàng,Thành phố,Quận huyện,Mã sản phẩm,Ngành,Hãng,Mã chung,Mã riêng,Chiết khấu,Giá,Giá sau CK,Số lượng,Giá trị đơn hàng,Tiền chiết khấu,Tiền đặt cọc,Tổng thu,Ghi chú của CSKH,Trạng thái,Chăm sóc KH,Thiếu,Thieu,DH thiếu,Ngày xác nhận,Thời gian xác nhận,Nguồn đơn hàng
hd226477,2021-03-05 21:57:14,3,2 HCM-HHT-KD-V.2,Bình Dương,Thành phố Thủ Dầu Một,MAN-HKC-NB27C2-GAME,MAN,HKC,,,300000,5090000,4790000,1,4790000,300000,,4790000,,Hệ thống hủy,Nguyễn Cao Thắng,0,0,0,2021-03-05 21:59:18,0.001435185186,OTHER
hd226472,2021-03-05 21:54:51,3,8 HCM-CQ-KD,,,LAP-MSI-GF63-9SCSR-829VN,LAP,MSI,,,,22990000,22990000,1,19940000,3200000,,19940000,19940000,Hệ thống hủy,,0,0,0,,0,OTHER
hd226472,2021-03-05 21:54:51,3,8 HCM-CQ-KD,,,CHU-DAR-LM115G-BK,CHU,DAREU,,,,150000,150000,1,19940000,3200000,,19940000,,Hệ thống hủy,,0,0,0,,0,OTHER
hd226472,2021-03-05 21:54:51,3,8 HCM-CQ-KD,,,TUI-GEARVN-SHOCK-15,TUI,GEARVN,,,,0,0,1,19940000,3200000,,19940000,,Hệ thống hủy,,0,0,0,,0,OTHER
hd226472,2021-03-05 21:54:51,3,8 HCM-CQ-KD,,,RAM-LEX-CL22-8G-2666-SODIMM,RAM,LEXAR,,,,0,0,1,19940000,3200000,,19940000,,Hệ thống hủy,,0,0,0,,0,OTHER
hd226472,2021-03-05 21:54:51,3,8 HCM-CQ-KD,,,TAI-MSI-H991,TAI,MSI,,,,0,0,1,19940000,3200000,,19940000,,Hệ thống hủy,,0,0,0,,0,OTHER
hd226475,2021-03-05 21:54:47,3,2 HCM-HHT-KD-V.2,Long An,Huyện Đức Hòa,RAM-GSK-TRIDENTZ-1X8G-RGB3000,RAM,G.SKILL,,,16287,1450000,1433713,1,34330000,390000,,34330000,34330000,Hệ thống hủy,Nguyễn Cao Thắng,0,0,0,2021-03-06 08:15:30,0.4310532407,OTHER
hd226475,2021-03-05 21:54:47,3,2 HCM-HHT-KD-V.2,Long An,Huyện Đức Hòa,RAM-GSK-TRIDENTZ-1X8G-RGB3000,RAM,G.SKILL,,,16287,1450000,1433713,1,34330000,390000,,34330000,,Hệ thống hủy,Nguyễn Cao Thắng,0,0,0,2021-03-06 08:15:30,0.4310532407,OTHER
hd226475,2021-03-05 21:54:47,3,2 HCM-HHT-KD-V.2,Long An,Huyện Đức Hòa,CPU-INT-i7-10700,CPU,INTEL,i7,i7,95366,8490000,8394634,1,34330000,390000,,34330000,,Hệ thống hủy,Nguyễn Cao Thắng,0,0,0,2021-03-06 08:15:30,0.4310532407,OTHER
hd226475,2021-03-05 21:54:47,3,2 HCM-HHT-KD-V.2,Long An,Huyện Đức Hòa,SSD-GIGA-240G,SSD,GIGABYTE,,,8874,790000,781126,1,34330000,390000,,34330000,,Hệ thống hủy,Nguyễn Cao Thắng,0,0,0,2021-03-06 08:15:30,0.4310532407,OTHER
